state,district,taluk,latitude,longitude,streetlights,population_density,patrol_frequency,base_crime_rate
Madhya Pradesh,Rewa,Rewa Central,23.0794,77.24595,0.57,0.8,0.67,0.62
Madhya Pradesh,Rewa,Rewa West,23.33043,77.27364,0.42,0.4,0.48,0.54
Madhya Pradesh,Rewa,Rewa East,23.17589,77.41196,0.36,0.4,0.44,0.69
Madhya Pradesh,Satna,Satna Central,23.43045,77.60739,0.59,0.87,0.67,0.43
Madhya Pradesh,Satna,Satna West,23.35027,77.54824,0.46,0.45,0.44,0.52
Madhya Pradesh,Satna,Satna East,23.3324,77.40058,0.48,0.4,0.32,0.54
Chhattisgarh,Raipur,Raipur Central,21.22963,81.37162,0.54,0.75,0.74,0.39
Chhattisgarh,Raipur,Raipur West,21.03436,81.34038,0.46,0.44,0.39,0.3
Chhattisgarh,Raipur,Raipur East,21.06672,81.15015,0.43,0.37,0.43,0.5
Chhattisgarh,Durg,Durg Central,21.26152,81.88101,0.55,0.75,0.73,0.42
Chhattisgarh,Durg,Durg West,21.24421,81.92049,0.35,0.33,0.42,0.42
Chhattisgarh,Durg,Durg East,21.08507,81.83427,0.41,0.4,0.49,0.55
Chhattisgarh,Bilaspur,Bilaspur Central,21.56405,81.83121,0.59,0.71,0.64,0.59
Chhattisgarh,Bilaspur,Bilaspur West,21.53584,81.65655,0.38,0.39,0.39,0.56
Chhattisgarh,Bilaspur,Bilaspur East,21.5029,81.58127,0.46,0.37,0.42,0.44
Chhattisgarh,Korba,Korba Central,21.30819,81.70409,0.5,0.86,0.71,0.59
Chhattisgarh,Korba,Korba West,21.23314,81.69617,0.43,0.39,0.51,0.62
Chhattisgarh,Korba,Korba East,21.22704,81.79802,0.51,0.44,0.47,0.6
Chhattisgarh,Rajnandgaon,Rajnandgaon Central,21.24705,81.95404,0.63,0.8,0.69,0.47
Chhattisgarh,Rajnandgaon,Rajnandgaon West,21.15687,82.1213,0.42,0.45,0.46,0.49
Chhattisgarh,Rajnandgaon,Rajnandgaon East,21.10633,81.91616,0.44,0.28,0.44,0.48
Chhattisgarh,Jagdalpur,Jagdalpur Central,21.46205,81.6669,0.53,0.83,0.75,0.35
Chhattisgarh,Jagdalpur,Jagdalpur West,21.23659,81.575,0.41,0.49,0.51,0.28
Chhattisgarh,Jagdalpur,Jagdalpur East,21.17892,81.65296,0.45,0.43,0.47,0.52
Goa,North Goa,North Goa Central,15.51136,73.87108,0.74,0.76,0.71,0.29
Goa,North Goa,North Goa West,15.44127,73.80475,0.68,0.28,0.47,0.3
Goa,North Goa,North Goa East,15.42406,73.74419,0.61,0.39,0.46,0.24
Goa,South Goa,South Goa Central,15.37248,73.77124,0.79,0.81,0.7,0.26
Goa,South Goa,South Goa West,15.39334,73.81255,0.58,0.45,0.45,0.32
Goa,South Goa,South Goa East,15.46648,73.71251,0.61,0.39,0.4,0.19
Dadra and Nagar Haveli and Daman and Diu,Daman,Daman Central,20.26289,72.80263,0.69,0.75,0.76,0.3
Dadra and Nagar Haveli and Daman and Diu,Daman,Daman West,20.24508,72.89301,0.55,0.42,0.43,0.16
Dadra and Nagar Haveli and Daman and Diu,Daman,Daman East,20.31865,72.57803,0.46,0.39,0.37,0.23
Dadra and Nagar Haveli and Daman and Diu,Diu,Diu Central,19.8918,72.90176,0.72,0.79,0.81,0.28
Dadra and Nagar Haveli and Daman and Diu,Diu,Diu West,19.99692,72.99201,0.53,0.35,0.45,0.41
Dadra and Nagar Haveli and Daman and Diu,Diu,Diu East,19.87653,72.9709,0.61,0.42,0.48,0.18
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli Central,20.39408,72.79274,0.72,0.88,0.72,0.28
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli West,20.39176,72.87493,0.59,0.36,0.4,0.22
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli East,20.37509,73.17391,0.52,0.45,0.47,0.3
Karnataka,Bengaluru Urban,Bengaluru Urban Central,13.23205,77.37625,0.85,0.75,0.73,0.42
Karnataka,Bengaluru Urban,Bengaluru Urban West,13.30575,77.37813,0.64,0.41,0.5,0.35
Karnataka,Bengaluru Urban,Bengaluru Urban East,13.24353,77.43228,0.76,0.4,0.46,0.43
Karnataka,Bengaluru Rural,Bengaluru Rural Central,12.928,77.62216,0.87,0.81,0.67,0.41
Karnataka,Bengaluru Rural,Bengaluru Rural West,12.93617,77.61286,0.7,0.5,0.45,0.26
Karnataka,Bengaluru Rural,Bengaluru Rural East,12.97291,77.79192,0.58,0.43,0.47,0.27
Karnataka,Mysuru,Mysuru Central,12.91951,77.24941,0.73,0.78,0.68,0.33
Karnataka,Mysuru,Mysuru West,12.89324,77.39481,0.64,0.37,0.47,0.29
Karnataka,Mysuru,Mysuru East,12.96996,77.26402,0.74,0.4,0.47,0.23
Karnataka,Dharwad (Hubli),Dharwad (Hubli) Central,12.92457,77.9727,0.83,0.77,0.79,0.34
Karnataka,Dharwad (Hubli),Dharwad (Hubli) West,12.95006,77.99722,0.66,0.38,0.43,0.45
Karnataka,Dharwad (Hubli),Dharwad (Hubli) East,12.86558,77.95263,0.64,0.37,0.43,0.41
Karnataka,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Central,12.80212,77.71053,0.94,0.82,0.68,0.34
Karnataka,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) West,12.76875,77.67194,0.72,0.34,0.46,0.33
Karnataka,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) East,12.71735,77.60732,0.6,0.5,0.43,0.25
Karnataka,Belagavi,Belagavi Central,12.7706,77.58103,0.75,0.82,0.77,0.35
Karnataka,Belagavi,Belagavi West,12.72179,77.65583,0.68,0.35,0.41,0.32
Karnataka,Belagavi,Belagavi East,12.92409,77.62515,0.68,0.33,0.39,0.4
Karnataka,Kalaburagi,Kalaburagi Central,12.7505,77.22929,0.87,0.77,0.69,0.46
Karnataka,Kalaburagi,Kalaburagi West,12.97009,77.1296,0.64,0.37,0.49,0.42
Karnataka,Kalaburagi,Kalaburagi East,13.01796,77.08083,0.74,0.45,0.45,0.29
Karnataka,Udupi,Udupi Central,13.00406,77.56956,0.88,0.85,0.63,0.21
Karnataka,Udupi,Udupi West,12.89676,77.92109,0.6,0.45,0.46,0.28
Karnataka,Udupi,Udupi East,12.92601,77.83737,0.68,0.32,0.43,0.49
Karnataka,Davangere,Davangere Central,12.97579,77.87466,0.81,0.86,0.79,0.33
Karnataka,Davangere,Davangere West,12.98216,77.87192,0.67,0.4,0.44,0.24
Karnataka,Davangere,Davangere East,12.87779,77.8361,0.62,0.34,0.47,0.27
Karnataka,Tumakuru,Tumakuru Central,12.758,77.68266,0.85,0.76,0.69,0.35
Karnataka,Tumakuru,Tumakuru West,12.87664,77.66482,0.69,0.34,0.38,0.26
Karnataka,Tumakuru,Tumakuru East,12.87585,77.67035,0.73,0.39,0.42,0.36
Telangana,Hyderabad,Hyderabad Central,17.28962,78.50694,0.86,0.76,0.73,0.59
Telangana,Hyderabad,Hyderabad West,17.38306,78.42052,0.68,0.39,0.52,0.6
Telangana,Hyderabad,Hyderabad East,17.2569,78.41333,0.67,0.37,0.51,0.49
Telangana,Medchal-Malkajgiri,Medchal-Malkajgiri Central,17.27678,78.56993,0.76,0.81,0.79,0.48
Telangana,Medchal-Malkajgiri,Medchal-Malkajgiri West,17.35701,78.69365,0.59,0.36,0.45,0.38
Telangana,Medchal-Malkajgiri,Medchal-Malkajgiri East,17.47661,78.52187,0.68,0.47,0.52,0.64
Telangana,Rangareddy,Rangareddy Central,17.22907,78.73443,0.78,0.85,0.79,0.37
Telangana,Rangareddy,Rangareddy West,17.18039,78.68631,0.7,0.37,0.41,0.4
Telangana,Rangareddy,Rangareddy East,17.24448,78.80943,0.71,0.35,0.47,0.66
Telangana,Warangal,Warangal Central,17.56785,78.63353,0.79,0.81,0.72,0.56
Telangana,Warangal,Warangal West,17.4486,78.73973,0.73,0.45,0.47,0.37
Telangana,Warangal,Warangal East,17.57371,78.6112,0.62,0.37,0.47,0.48
Telangana,Nizamabad,Nizamabad Central,17.30787,78.29024,0.75,0.79,0.74,0.53
Telangana,Nizamabad,Nizamabad West,17.52981,78.39551,0.61,0.33,0.46,0.35
Telangana,Nizamabad,Nizamabad East,17.27004,78.40272,0.67,0.49,0.43,0.55
Telangana,Karimnagar,Karimnagar Central,17.48742,78.57388,0.81,0.76,0.68,0.54
Telangana,Karimnagar,Karimnagar West,17.49262,78.65951,0.65,0.44,0.5,0.43
Telangana,Karimnagar,Karimnagar East,17.64211,78.64225,0.61,0.32,0.36,0.57
Telangana,Khammam,Khammam Central,17.30756,78.45741,0.89,0.81,0.72,0.39
Telangana,Khammam,Khammam West,17.30343,78.33195,0.66,0.35,0.43,0.5
Telangana,Khammam,Khammam East,17.33934,78.24676,0.61,0.4,0.51,0.45
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,16.76159,80.09591,0.73,0.77,0.69,0.53
Andhra Pradesh,Visakhapatnam,Visakhapatnam West,16.74019,80.18301,0.54,0.36,0.52,0.61
Andhra Pradesh,Visakhapatnam,Visakhapatnam East,16.63429,80.04687,0.5,0.44,0.46,0.66
Andhra Pradesh,Vijayawada (NTR),Vijayawada (NTR) Central,16.52178,80.21672,0.72,0.83,0.71,0.53
Andhra Pradesh,Vijayawada (NTR),Vijayawada (NTR) West,16.55724,80.35627,0.55,0.36,0.52,0.57
Andhra Pradesh,Vijayawada (NTR),Vijayawada (NTR) East,16.57514,80.3695,0.55,0.43,0.46,0.53
Andhra Pradesh,Guntur,Guntur Central,16.38819,79.98421,0.64,0.74,0.77,0.5
Andhra Pradesh,Guntur,Guntur West,16.47411,80.20095,0.52,0.37,0.42,0.33
Andhra Pradesh,Guntur,Guntur East,16.40699,80.19762,0.48,0.43,0.43,0.45
Andhra Pradesh,Nellore,Nellore Central,16.49548,80.45808,0.75,0.84,0.74,0.38
Andhra Pradesh,Nellore,Nellore West,16.52387,80.64258,0.48,0.4,0.53,0.54
Andhra Pradesh,Nellore,Nellore East,16.45202,80.67545,0.52,0.41,0.5,0.35
Andhra Pradesh,Kurnool,Kurnool Central,16.60723,80.40193,0.59,0.83,0.77,0.4
Andhra Pradesh,Kurnool,Kurnool West,16.4574,80.26275,0.53,0.42,0.47,0.58
Andhra Pradesh,Kurnool,Kurnool East,16.38344,80.54357,0.52,0.32,0.53,0.33
Andhra Pradesh,Tirupati,Tirupati Central,16.63603,80.36817,0.7,0.82,0.7,0.52
Andhra Pradesh,Tirupati,Tirupati West,16.70127,80.29554,0.54,0.34,0.46,0.46
Andhra Pradesh,Tirupati,Tirupati East,16.56885,80.36363,0.59,0.42,0.48,0.31
Andhra Pradesh,Anantapur,Anantapur Central,16.57781,80.21694,0.76,0.85,0.68,0.46
Andhra Pradesh,Anantapur,Anantapur West,16.64307,80.19601,0.56,0.37,0.39,0.36
Andhra Pradesh,Anantapur,Anantapur East,16.72966,80.16471,0.52,0.41,0.45,0.31
Andhra Pradesh,Kadapa,Kadapa Central,16.74342,80.42667,0.68,0.84,0.69,0.57
Andhra Pradesh,Kadapa,Kadapa West,16.70113,80.412,0.51,0.37,0.5,0.31
Andhra Pradesh,Kadapa,Kadapa East,16.74193,80.38839,0.53,0.39,0.41,0.47
Andhra Pradesh,Kakinada,Kakinada Central,16.87575,80.4383,0.63,0.87,0.79,0.48
Andhra Pradesh,Kakinada,Kakinada West,16.91249,80.49344,0.5,0.44,0.49,0.53
Andhra Pradesh,Kakinada,Kakinada East,16.85568,80.49286,0.5,0.44,0.52,0.29
Tamil Nadu,Chennai,Chennai Central,13.32304,79.99436,0.8,0.88,0.72,0.21
Tamil Nadu,Chennai,Chennai West,13.34007,80.1513,0.65,0.35,0.43,0.36
Tamil Nadu,Chennai,Chennai East,13.35355,79.97387,0.76,0.44,0.45,0.41
Tamil Nadu,Coimbatore,Coimbatore Central,13.11276,80.09894,0.82,0.75,0.64,0.34
Tamil Nadu,Coimbatore,Coimbatore West,13.02842,80.17312,0.68,0.45,0.48,0.11
Tamil Nadu,Coimbatore,Coimbatore East,13.07177,80.13025,0.66,0.39,0.52,0.27
Tamil Nadu,Madurai,Madurai Central,13.01095,80.40142,0.85,0.76,0.68,0.33
Tamil Nadu,Madurai,Madurai West,13.05331,80.1048,0.67,0.37,0.49,0.22
Tamil Nadu,Madurai,Madurai East,12.89994,80.39436,0.7,0.36,0.46,0.39
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Central,12.91461,80.00921,0.82,0.74,0.71,0.22
Tamil Nadu,Tiruchirappalli,Tiruchirappalli West,12.95968,79.77772,0.71,0.37,0.33,0.28
Tamil Nadu,Tiruchirappalli,Tiruchirappalli East,12.97332,79.8757,0.84,0.46,0.5,0.31
Tamil Nadu,Salem,Salem Central,12.90908,80.6488,0.83,0.77,0.79,0.3
Tamil Nadu,Salem,Salem West,12.93457,80.67332,0.64,0.37,0.51,0.08
Tamil Nadu,Salem,Salem East,12.85009,80.62873,0.67,0.35,0.47,0.39
Tamil Nadu,Tirunelveli,Tirunelveli Central,12.7604,80.41168,0.87,0.77,0.69,0.42
Tamil Nadu,Tirunelveli,Tirunelveli West,12.97999,80.31199,0.69,0.36,0.43,0.42
Tamil Nadu,Tirunelveli,Tirunelveli East,13.02786,80.26322,0.7,0.43,0.45,0.14
Tamil Nadu,Vellore,Vellore Central,13.0027,80.23235,0.79,0.74,0.68,0.49
Tamil Nadu,Vellore,Vellore West,12.89523,80.22139,0.63,0.45,0.53,0.29
Tamil Nadu,Vellore,Vellore East,13.02746,80.14678,0.78,0.38,0.49,0.35
Tamil Nadu,Kancheepuram,Kancheepuram Central,12.99788,79.8287,0.83,0.77,0.67,0.3
Tamil Nadu,Kancheepuram,Kancheepuram West,12.96659,79.68243,0.69,0.37,0.46,0.34
Tamil Nadu,Kancheepuram,Kancheepuram East,13.15078,79.81353,0.56,0.43,0.46,0.4
Tamil Nadu,Thanjavur,Thanjavur Central,13.05305,80.32475,0.84,0.86,0.67,0.28
Tamil Nadu,Thanjavur,Thanjavur West,12.93828,80.43313,0.62,0.36,0.56,0.39
Tamil Nadu,Thanjavur,Thanjavur East,13.1014,80.39005,0.65,0.41,0.53,0.26
Kerala,Thiruvananthapuram,Thiruvananthapuram Central,8.30561,77.66151,0.77,0.86,0.69,0.4
Kerala,Thiruvananthapuram,Thiruvananthapuram West,8.34214,77.44396,0.58,0.34,0.49,0.38
Kerala,Thiruvananthapuram,Thiruvananthapuram East,8.33591,77.65009,0.61,0.45,0.55,0.41
Kerala,Ernakulam (Kochi),Ernakulam (Kochi) Central,8.53321,76.82069,0.79,0.82,0.74,0.31
Kerala,Ernakulam (Kochi),Ernakulam (Kochi) West,8.52278,77.04684,0.53,0.39,0.48,0.51
Kerala,Ernakulam (Kochi),Ernakulam (Kochi) East,8.4042,76.81658,0.68,0.36,0.46,0.17
Kerala,Kozhikode,Kozhikode Central,8.66747,77.00999,0.7,0.89,0.69,0.4
Kerala,Kozhikode,Kozhikode West,8.42585,76.9783,0.66,0.43,0.48,0.41
Kerala,Kozhikode,Kozhikode East,8.56488,77.05772,0.52,0.36,0.53,0.27
Kerala,Thrissur,Thrissur Central,8.6633,76.91866,0.69,0.8,0.79,0.5
Kerala,Thrissur,Thrissur West,8.63244,76.91436,0.63,0.42,0.51,0.35
Kerala,Thrissur,Thrissur East,8.40292,77.17441,0.54,0.37,0.38,0.25
Kerala,Kollam,Kollam Central,8.66784,76.69301,0.77,0.82,0.71,0.47
Kerala,Kollam,Kollam West,8.75046,76.8708,0.57,0.35,0.49,0.34
Kerala,Kollam,Kollam East,8.6753,76.73588,0.59,0.44,0.45,0.32
Kerala,Kannur,Kannur Central,8.51797,76.67194,0.72,0.79,0.62,0.4
Kerala,Kannur,Kannur West,8.45075,76.57608,0.58,0.42,0.44,0.35
Kerala,Kannur,Kannur East,8.54059,76.61529,0.66,0.47,0.47,0.52
Kerala,Kottayam,Kottayam Central,8.54002,76.89208,0.85,0.77,0.73,0.4
Kerala,Kottayam,Kottayam West,8.46992,76.70168,0.61,0.45,0.43,0.35
Kerala,Kottayam,Kottayam East,8.4299,76.87239,0.67,0.53,0.5,0.3
Kerala,Alappuzha,Alappuzha Central,8.66484,77.0427,0.81,0.69,0.61,0.3
Kerala,Alappuzha,Alappuzha West,8.78051,77.02093,0.62,0.46,0.44,0.33
Kerala,Alappuzha,Alappuzha East,8.90701,77.17078,0.58,0.47,0.49,0.35
Kerala,Palakkad,Palakkad Central,8.80766,76.88793,0.69,0.73,0.72,0.36
Kerala,Palakkad,Palakkad West,8.59772,76.96579,0.5,0.4,0.46,0.28
Kerala,Palakkad,Palakkad East,8.66972,76.92234,0.69,0.36,0.55,0.43
Kerala,Malappuram,Malappuram Central,8.5944,76.54088,0.72,0.8,0.7,0.23
Kerala,Malappuram,Malappuram West,8.61157,76.62954,0.66,0.43,0.42,0.26
Kerala,Malappuram,Malappuram East,8.38408,76.60783,0.6,0.32,0.47,0.32
Puducherry,Puducherry,Puducherry Central,11.93207,79.58051,0.76,0.81,0.57,0.23
Puducherry,Puducherry,Puducherry West,11.98346,79.74814,0.6,0.43,0.35,0.29
Puducherry,Puducherry,Puducherry East,11.86171,79.76319,0.58,0.55,0.49,0.28
Puducherry,Karaikal,Karaikal Central,11.8743,79.83367,0.8,0.8,0.73,0.19
Puducherry,Karaikal,Karaikal West,12.02504,79.93941,0.63,0.42,0.39,0.32
Puducherry,Karaikal,Karaikal East,11.92905,79.93084,0.58,0.37,0.54,0.21
Puducherry,Mahe,Mahe Central,11.7988,79.71085,0.8,0.81,0.72,0.43
Puducherry,Mahe,Mahe West,11.94015,79.78509,0.58,0.43,0.4,0.27
Puducherry,Mahe,Mahe East,11.87364,79.71505,0.64,0.39,0.48,0.33
Puducherry,Yanam,Yanam Central,11.92143,79.77088,0.8,0.84,0.67,0.32
Puducherry,Yanam,Yanam West,12.03634,79.7636,0.7,0.39,0.42,0.29
Puducherry,Yanam,Yanam East,11.76635,79.82408,0.67,0.4,0.47,0.4
Lakshadweep,Lakshadweep District,Lakshadweep District Central,10.65347,72.66294,0.42,0.76,0.68,0.05
Lakshadweep,Lakshadweep District,Lakshadweep District West,10.61483,72.62969,0.3,0.47,0.47,0.05
Lakshadweep,Lakshadweep District,Lakshadweep District East,10.71612,72.51544,0.35,0.41,0.41,0.18
Andaman and Nicobar Islands,South Andaman,South Andaman Central,11.72468,92.58096,0.72,0.74,0.69,0.24
Andaman and Nicobar Islands,South Andaman,South Andaman West,11.7278,92.73812,0.48,0.26,0.51,0.19
Andaman and Nicobar Islands,South Andaman,South Andaman East,11.62561,92.7009,0.56,0.41,0.48,0.24
Andaman and Nicobar Islands,North and Middle Andaman,North and Middle Andaman Central,11.81797,92.683,0.63,0.85,0.59,0.28
Andaman and Nicobar Islands,North and Middle Andaman,North and Middle Andaman West,11.80726,92.64263,0.54,0.45,0.43,0.22
Andaman and Nicobar Islands,North and Middle Andaman,North and Middle Andaman East,11.75153,92.65862,0.55,0.45,0.5,0.05
Andaman and Nicobar Islands,Nicobar,Nicobar Central,11.68821,92.80634,0.73,0.79,0.77,0.13
Andaman and Nicobar Islands,Nicobar,Nicobar West,11.94047,92.84423,0.49,0.34,0.59,0.41
Andaman and Nicobar Islands,Nicobar,Nicobar East,11.82614,92.75173,0.49,0.4,0.42,0.08
West Bengal,Kolkata,Kolkata Central,22.59141,88.43665,0.57,0.79,0.72,0.42
West Bengal,Kolkata,Kolkata West,22.73998,88.36016,0.48,0.37,0.39,0.51
West Bengal,Kolkata,Kolkata East,22.61359,88.30932,0.62,0.44,0.42,0.4
West Bengal,North 24 Parganas,North 24 Parganas Central,22.67179,88.20732,0.72,0.79,0.69,0.5
West Bengal,North 24 Parganas,North 24 Parganas West,22.64961,88.17349,0.49,0.49,0.37,0.59
West Bengal,North 24 Parganas,North 24 Parganas East,22.66803,88.13717,0.58,0.43,0.49,0.47
West Bengal,South 24 Parganas,South 24 Parganas Central,22.71657,88.12634,0.74,0.82,0.63,0.62
West Bengal,South 24 Parganas,South 24 Parganas West,22.81745,88.17649,0.47,0.46,0.47,0.58
West Bengal,South 24 Parganas,South 24 Parganas East,22.81795,88.17826,0.53,0.39,0.45,0.45
West Bengal,Howrah,Howrah Central,22.55904,88.04724,0.69,0.78,0.57,0.54
West Bengal,Howrah,Howrah West,22.22744,88.10244,0.53,0.49,0.41,0.58
West Bengal,Howrah,Howrah East,22.36393,88.15795,0.56,0.41,0.39,0.69
West Bengal,Hooghly,Hooghly Central,22.58001,88.10684,0.78,0.79,0.63,0.66
West Bengal,Hooghly,Hooghly West,22.69747,88.09467,0.63,0.45,0.47,0.43
West Bengal,Hooghly,Hooghly East,22.66865,88.10248,0.56,0.48,0.34,0.54
West Bengal,Darjeeling,Darjeeling Central,22.65172,88.2866,0.66,0.8,0.72,0.59
West Bengal,Darjeeling,Darjeeling West,22.46378,88.11042,0.59,0.4,0.46,0.49
West Bengal,Darjeeling,Darjeeling East,22.44741,88.34531,0.54,0.42,0.53,0.4
West Bengal,Paschim Medinipur,Paschim Medinipur Central,22.22621,88.14491,0.76,0.72,0.6,0.56
West Bengal,Paschim Medinipur,Paschim Medinipur West,22.26313,87.99591,0.56,0.34,0.42,0.5
West Bengal,Paschim Medinipur,Paschim Medinipur East,22.29666,88.20027,0.53,0.47,0.42,0.5
West Bengal,Purba Medinipur,Purba Medinipur Central,22.50935,88.69216,0.71,0.77,0.67,0.62
West Bengal,Purba Medinipur,Purba Medinipur West,22.6739,88.54372,0.55,0.4,0.55,0.49
West Bengal,Purba Medinipur,Purba Medinipur East,22.56755,88.4839,0.55,0.38,0.47,0.63
West Bengal,Murshidabad,Murshidabad Central,22.47494,88.21614,0.64,0.78,0.77,0.54
West Bengal,Murshidabad,Murshidabad West,22.67411,88.10854,0.49,0.44,0.47,0.52
West Bengal,Murshidabad,Murshidabad East,22.71655,88.09177,0.51,0.47,0.41,0.57
West Bengal,Asansol-Durgapur,Asansol-Durgapur Central,22.60025,87.99958,0.72,0.79,0.69,0.5
West Bengal,Asansol-Durgapur,Asansol-Durgapur West,22.57807,87.96576,0.61,0.28,0.41,0.5
West Bengal,Asansol-Durgapur,Asansol-Durgapur East,22.59648,87.92944,0.56,0.44,0.35,0.49
Bihar,Patna,Patna Central,25.48468,85.28028,0.49,0.67,0.69,0.56
Bihar,Patna,Patna West,25.32392,85.29632,0.45,0.35,0.42,0.51
Bihar,Patna,Patna East,25.41617,85.28679,0.35,0.41,0.44,0.59
Bihar,Gaya,Gaya Central,25.6207,84.92073,0.52,0.86,0.71,0.49
Bihar,Gaya,Gaya West,25.67687,85.05776,0.31,0.45,0.51,0.58
Bihar,Gaya,Gaya East,25.79977,85.10271,0.35,0.46,0.45,0.55
Bihar,Muzaffarpur,Muzaffarpur Central,25.48879,85.4028,0.58,0.77,0.64,0.57
Bihar,Muzaffarpur,Muzaffarpur West,25.49373,85.38672,0.49,0.44,0.52,0.38
Bihar,Muzaffarpur,Muzaffarpur East,25.36577,85.56519,0.31,0.35,0.52,0.34
Bihar,Bhagalpur,Bhagalpur Central,25.62533,85.00132,0.53,0.79,0.74,0.5
Bihar,Bhagalpur,Bhagalpur West,25.61585,85.105,0.34,0.34,0.52,0.56
Bihar,Bhagalpur,Bhagalpur East,25.57107,85.05434,0.31,0.37,0.5,0.63
Bihar,Darbhanga,Darbhanga Central,25.35045,85.40117,0.57,0.74,0.69,0.7
Bihar,Darbhanga,Darbhanga West,25.39512,85.34639,0.37,0.35,0.41,0.62
Bihar,Darbhanga,Darbhanga East,25.5362,85.39103,0.4,0.39,0.48,0.41
Bihar,Purnia,Purnia Central,25.71033,85.08156,0.54,0.82,0.7,0.53
Bihar,Purnia,Purnia West,25.59377,85.16064,0.39,0.41,0.38,0.59
Bihar,Purnia,Purnia East,25.71803,85.22049,0.45,0.38,0.42,0.62
Bihar,Begusarai,Begusarai Central,25.43924,85.41222,0.61,0.74,0.72,0.48
Bihar,Begusarai,Begusarai West,25.55138,85.29136,0.51,0.45,0.42,0.55
Bihar,Begusarai,Begusarai East,25.38878,85.24553,0.33,0.39,0.45,0.54
Bihar,Arrah,Arrah Central,26.05887,85.13568,0.46,0.81,0.76,0.55
Bihar,Arrah,Arrah West,26.10879,85.20004,0.39,0.32,0.53,0.54
Bihar,Arrah,Arrah East,26.16773,85.34864,0.34,0.43,0.42,0.52
Bihar,Nalanda,Nalanda Central,25.69469,85.12336,0.53,0.8,0.68,0.43
Bihar,Nalanda,Nalanda West,25.90415,85.12035,0.35,0.44,0.41,0.47
Bihar,Nalanda,Nalanda East,25.8815,84.99437,0.4,0.34,0.47,0.48
Jharkhand,Ranchi,Ranchi Central,23.2005,85.28115,0.46,0.79,0.71,0.42
Jharkhand,Ranchi,Ranchi West,23.15099,85.16418,0.44,0.39,0.35,0.46
Jharkhand,Ranchi,Ranchi East,23.20782,85.21733,0.4,0.37,0.49,0.46
Jharkhand,East Singhbhum (Jamshedpur),East Singhbhum (Jamshedpur) Central,23.12889,85.88523,0.52,0.8,0.67,0.52
Jharkhand,East Singhbhum (Jamshedpur),East Singhbhum (Jamshedpur) West,23.37991,85.91292,0.37,0.38,0.41,0.46
Jharkhand,East Singhbhum (Jamshedpur),East Singhbhum (Jamshedpur) East,23.22537,86.05125,0.4,0.41,0.39,0.4
Jharkhand,Dhanbad,Dhanbad Central,23.65257,85.34973,0.53,0.79,0.67,0.47
Jharkhand,Dhanbad,Dhanbad West,23.69511,85.43792,0.38,0.41,0.42,0.35
Jharkhand,Dhanbad,Dhanbad East,23.64669,85.28866,0.38,0.41,0.45,0.37
Jharkhand,Bokaro,Bokaro Central,23.17195,85.01308,0.52,0.78,0.66,0.29
Jharkhand,Bokaro,Bokaro West,23.19817,85.10203,0.38,0.38,0.44,0.35
Jharkhand,Bokaro,Bokaro East,23.15434,85.07959,0.37,0.39,0.54,0.53
Jharkhand,Hazaribagh,Hazaribagh Central,23.47627,85.40737,0.61,0.78,0.64,0.47
Jharkhand,Hazaribagh,Hazaribagh West,23.32186,85.25669,0.39,0.42,0.46,0.45
Jharkhand,Hazaribagh,Hazaribagh East,23.34732,85.25703,0.44,0.42,0.44,0.47
Jharkhand,Deoghar,Deoghar Central,23.74184,85.33443,0.5,0.73,0.66,0.39
Jharkhand,Deoghar,Deoghar West,23.84607,85.39688,0.36,0.39,0.47,0.34
Jharkhand,Deoghar,Deoghar East,23.76131,85.4277,0.43,0.36,0.36,0.48
Odisha,Khordha (Bhubaneswar),Khordha (Bhubaneswar) Central,20.33457,85.71245,0.66,0.81,0.73,0.51
Odisha,Khordha (Bhubaneswar),Khordha (Bhubaneswar) West,20.26956,85.82144,0.41,0.44,0.43,0.56
Odisha,Khordha (Bhubaneswar),Khordha (Bhubaneswar) East,20.18201,85.72053,0.52,0.45,0.47,0.32
Odisha,Cuttack,Cuttack Central,20.50224,85.75679,0.64,0.77,0.64,0.44
Odisha,Cuttack,Cuttack West,20.48784,85.70339,0.44,0.41,0.44,0.39
Odisha,Cuttack,Cuttack East,20.42416,85.75785,0.42,0.41,0.46,0.37
Odisha,Ganjam,Ganjam Central,20.3273,85.93075,0.58,0.79,0.68,0.36
Odisha,Ganjam,Ganjam West,20.23859,86.01208,0.46,0.46,0.43,0.57
Odisha,Ganjam,Ganjam East,20.51983,86.00559,0.47,0.39,0.44,0.5
Odisha,Sundargarh (Rourkela),Sundargarh (Rourkela) Central,20.59541,85.99097,0.53,0.77,0.69,0.58
Odisha,Sundargarh (Rourkela),Sundargarh (Rourkela) West,20.4595,86.09957,0.49,0.36,0.5,0.48
